"frequency";"r dBS21";"i dBS21"
1e+07;-0.0101657;0
1.01547e+07;-0.0102493;0
1.03118e+07;-0.0103335;0
1.04713e+07;-0.0104185;0
1.06333e+07;-0.0105043;0
1.07978e+07;-0.0105908;0
1.09648e+07;-0.010678;0
1.11344e+07;-0.0107661;0
1.13066e+07;-0.0108549;0
1.14815e+07;-0.0109444;0
1.16591e+07;-0.0110348;0
1.18395e+07;-0.011126;0
1.20226e+07;-0.0112179;0
1.22086e+07;-0.0113107;0
1.23975e+07;-0.0114043;0
1.25893e+07;-0.0114987;0
1.2784e+07;-0.011594;0
1.29818e+07;-0.0116901;0
1.31826e+07;-0.0117871;0
1.33865e+07;-0.0118849;0
1.35936e+07;-0.0119836;0
1.38038e+07;-0.0120831;0
1.40174e+07;-0.0121836;0
1.42342e+07;-0.012285;0
1.44544e+07;-0.0123872;0
1.4678e+07;-0.0124904;0
1.4905e+07;-0.0125945;0
1.51356e+07;-0.0126996;0
1.53697e+07;-0.0128055;0
1.56075e+07;-0.0129125;0
1.58489e+07;-0.0130204;0
1.60941e+07;-0.0131292;0
1.63431e+07;-0.0132391;0
1.65959e+07;-0.0133499;0
1.68526e+07;-0.0134618;0
1.71133e+07;-0.0135746;0
1.7378e+07;-0.0136885;0
1.76468e+07;-0.0138034;0
1.79198e+07;-0.0139194;0
1.8197e+07;-0.0140364;0
1.84785e+07;-0.0141545;0
1.87643e+07;-0.0142737;0
1.90546e+07;-0.0143939;0
1.93494e+07;-0.0145153;0
1.96487e+07;-0.0146377;0
1.99526e+07;-0.0147613;0
2.02613e+07;-0.014886;0
2.05747e+07;-0.0150119;0
2.0893e+07;-0.0151389;0
2.12162e+07;-0.0152671;0
2.15443e+07;-0.0153965;0
2.18776e+07;-0.015527;0
2.2216e+07;-0.0156588;0
2.25597e+07;-0.0157918;0
2.29087e+07;-0.0159261;0
2.32631e+07;-0.0160615;0
2.36229e+07;-0.0161983;0
2.39883e+07;-0.0163363;0
2.43594e+07;-0.0164756;0
2.47362e+07;-0.0166162;0
2.51189e+07;-0.0167582;0
2.55074e+07;-0.0169014;0
2.5902e+07;-0.017046;0
2.63027e+07;-0.017192;0
2.67096e+07;-0.0173393;0
2.71227e+07;-0.017488;0
2.75423e+07;-0.0176382;0
2.79683e+07;-0.0177897;0
2.8401e+07;-0.0179427;0
2.88403e+07;-0.0180971;0
2.92864e+07;-0.0182531;0
2.97395e+07;-0.0184104;0
3.01995e+07;-0.0185693;0
3.06667e+07;-0.0187297;0
3.11411e+07;-0.0188917;0
3.16228e+07;-0.0190552;0
3.21119e+07;-0.0192202;0
3.26087e+07;-0.0193869;0
3.31131e+07;-0.0195551;0
3.36253e+07;-0.019725;0
3.41455e+07;-0.0198965;0
3.46737e+07;-0.0200696;0
3.52101e+07;-0.0202445;0
3.57547e+07;-0.020421;0
3.63078e+07;-0.0205993;0
3.68695e+07;-0.0207793;0
3.74398e+07;-0.020961;0
3.80189e+07;-0.0211445;0
3.86071e+07;-0.0213298;0
3.92043e+07;-0.021517;0
3.98107e+07;-0.0217059;0
4.04265e+07;-0.0218968;0
4.10519e+07;-0.0220895;0
4.16869e+07;-0.0222841;0
4.23318e+07;-0.0224806;0
4.29866e+07;-0.0226791;0
4.36516e+07;-0.0228795;0
4.43268e+07;-0.0230819;0
4.50125e+07;-0.0232864;0
4.57088e+07;-0.0234929;0
4.64159e+07;-0.0237015;0
4.71339e+07;-0.0239121;0
4.7863e+07;-0.0241249;0
4.86034e+07;-0.0243397;0
4.93552e+07;-0.0245568;0
5.01187e+07;-0.0247761;0
5.0894e+07;-0.0249975;0
5.16813e+07;-0.0252212;0
5.24807e+07;-0.0254472;0
5.32926e+07;-0.0256755;0
5.4117e+07;-0.0259061;0
