"frequency";"r dBS33";"i dBS33"
1e+07;-72.9175;0
1.01547e+07;-72.7846;0
1.03118e+07;-72.6516;0
1.04713e+07;-72.5187;0
1.06333e+07;-72.3857;0
1.07978e+07;-72.2528;0
1.09648e+07;-72.1198;0
1.11344e+07;-71.9869;0
1.13066e+07;-71.8539;0
1.14815e+07;-71.7209;0
1.16591e+07;-71.588;0
1.18395e+07;-71.455;0
1.20226e+07;-71.322;0
1.22086e+07;-71.189;0
1.23975e+07;-71.0561;0
1.25893e+07;-70.9231;0
1.2784e+07;-70.7901;0
1.29818e+07;-70.6571;0
1.31826e+07;-70.5241;0
1.33865e+07;-70.3911;0
1.35936e+07;-70.2581;0
1.38038e+07;-70.1251;0
1.40174e+07;-69.9921;0
1.42342e+07;-69.8591;0
1.44544e+07;-69.7261;0
1.4678e+07;-69.5931;0
1.4905e+07;-69.4601;0
1.51356e+07;-69.3271;0
1.53697e+07;-69.1941;0
1.56075e+07;-69.0611;0
1.58489e+07;-68.928;0
1.60941e+07;-68.795;0
1.63431e+07;-68.662;0
1.65959e+07;-68.529;0
1.68526e+07;-68.396;0
1.71133e+07;-68.2629;0
1.7378e+07;-68.1299;0
1.76468e+07;-67.9969;0
1.79198e+07;-67.8639;0
1.8197e+07;-67.7308;0
1.84785e+07;-67.5978;0
1.87643e+07;-67.4648;0
1.90546e+07;-67.3318;0
1.93494e+07;-67.1987;0
1.96487e+07;-67.0657;0
1.99526e+07;-66.9327;0
2.02613e+07;-66.7996;0
2.05747e+07;-66.6666;0
2.0893e+07;-66.5336;0
2.12162e+07;-66.4005;0
2.15443e+07;-66.2675;0
2.18776e+07;-66.1345;0
2.2216e+07;-66.0014;0
2.25597e+07;-65.8684;0
2.29087e+07;-65.7354;0
2.32631e+07;-65.6023;0
2.36229e+07;-65.4693;0
2.39883e+07;-65.3363;0
2.43594e+07;-65.2032;0
2.47362e+07;-65.0702;0
2.51189e+07;-64.9372;0
2.55074e+07;-64.8042;0
2.5902e+07;-64.6711;0
2.63027e+07;-64.5381;0
2.67096e+07;-64.4051;0
2.71227e+07;-64.272;0
2.75423e+07;-64.139;0
2.79683e+07;-64.006;0
2.8401e+07;-63.873;0
2.88403e+07;-63.7399;0
2.92864e+07;-63.6069;0
2.97395e+07;-63.4739;0
3.01995e+07;-63.3409;0
3.06667e+07;-63.2079;0
3.11411e+07;-63.0748;0
3.16228e+07;-62.9418;0
3.21119e+07;-62.8088;0
3.26087e+07;-62.6758;0
