"frequency";"r dBS11";"i dBS11"
1e+07;-6.03049;0
1.0146e+07;-6.03057;0
1.02942e+07;-6.03064;0
1.04446e+07;-6.03072;0
1.05971e+07;-6.0308;0
1.07519e+07;-6.03088;0
1.09089e+07;-6.03096;0
1.10682e+07;-6.03104;0
1.12299e+07;-6.03112;0
1.13939e+07;-6.0312;0
1.15603e+07;-6.03129;0
1.17291e+07;-6.03137;0
1.19004e+07;-6.03145;0
1.20742e+07;-6.03154;0
1.22506e+07;-6.03162;0
1.24295e+07;-6.03171;0
1.2611e+07;-6.0318;0
1.27952e+07;-6.03188;0
1.29821e+07;-6.03197;0
1.31717e+07;-6.03206;0
1.33641e+07;-6.03215;0
1.35592e+07;-6.03224;0
1.37573e+07;-6.03233;0
1.39582e+07;-6.03243;0
1.4162e+07;-6.03252;0
1.43689e+07;-6.03261;0
1.45787e+07;-6.03271;0
1.47917e+07;-6.0328;0
1.50077e+07;-6.0329;0
1.52269e+07;-6.03299;0
1.54493e+07;-6.03309;0
1.56749e+07;-6.03319;0
1.59038e+07;-6.03329;0
1.61361e+07;-6.03339;0
1.63718e+07;-6.03349;0
1.66109e+07;-6.03359;0
1.68535e+07;-6.0337;0
1.70996e+07;-6.0338;0
1.73493e+07;-6.0339;0
1.76027e+07;-6.03401;0
1.78598e+07;-6.03412;0
1.81206e+07;-6.03422;0
1.83853e+07;-6.03433;0
1.86538e+07;-6.03444;0
1.89262e+07;-6.03455;0
1.92027e+07;-6.03466;0
1.94831e+07;-6.03477;0
1.97677e+07;-6.03489;0
2.00564e+07;-6.035;0
2.03493e+07;-6.03512;0
2.06465e+07;-6.03523;0
2.0948e+07;-6.03535;0
2.1254e+07;-6.03547;0
2.15644e+07;-6.03559;0
2.18793e+07;-6.03571;0
2.21989e+07;-6.03583;0
2.25231e+07;-6.03595;0
2.2852e+07;-6.03607;0
2.31858e+07;-6.0362;0
2.35244e+07;-6.03632;0
2.3868e+07;-6.03645;0
2.42165e+07;-6.03658;0
2.45702e+07;-6.0367;0
2.49291e+07;-6.03683;0
2.52931e+07;-6.03696;0
2.56625e+07;-6.0371;0
2.60373e+07;-6.03723;0
2.64176e+07;-6.03736;0
2.68034e+07;-6.0375;0
2.71949e+07;-6.03764;0
2.75921e+07;-6.03777;0
2.7995e+07;-6.03791;0
2.84039e+07;-6.03805;0
2.88187e+07;-6.0382;0
2.92396e+07;-6.03834;0
2.96667e+07;-6.03848;0
3.01e+07;-6.03863;0
3.05396e+07;-6.03878;0
3.09856e+07;-6.03892;0
3.14381e+07;-6.03907;0
3.18973e+07;-6.03923;0
3.23631e+07;-6.03938;0
3.28358e+07;-6.03953;0
3.33153e+07;-6.03969;0
3.38019e+07;-6.03984;0
3.42956e+07;-6.04;0
3.47965e+07;-6.04016;0
3.53047e+07;-6.04032;0
3.58203e+07;-6.04048;0
3.63434e+07;-6.04065;0
3.68742e+07;-6.04081;0
3.74127e+07;-6.04098;0
3.79592e+07;-6.04115;0
3.85135e+07;-6.04132;0
3.9076e+07;-6.04149;0
3.96467e+07;-6.04166;0
4.02258e+07;-6.04184;0
4.08132e+07;-6.04201;0
4.14093e+07;-6.04219;0
4.20141e+07;-6.04237;0
4.26277e+07;-6.04255;0
4.32503e+07;-6.04274;0
4.38819e+07;-6.04292;0
4.45228e+07;-6.04311;0
4.51731e+07;-6.04329;0
4.58328e+07;-6.04348;0
4.65022e+07;-6.04368;0
4.71813e+07;-6.04387;0
4.78704e+07;-6.04406;0
4.85696e+07;-6.04426;0
4.92789e+07;-6.04446;0
4.99986e+07;-6.04466;0
5.07288e+07;-6.04487;0
5.14697e+07;-6.04507;0
5.22214e+07;-6.04528;0
5.29841e+07;-6.04549;0
5.37579e+07;-6.0457;0
5.45431e+07;-6.04591;0
5.53397e+07;-6.04612;0
5.61479e+07;-6.04634;0
5.69679e+07;-6.04656;0
5.77999e+07;-6.04678;0
5.86441e+07;-6.047;0
5.95006e+07;-6.04723;0
6.03695e+07;-6.04746;0
6.12512e+07;-6.04769;0
6.21458e+07;-6.04792;0
6.30534e+07;-6.04815;0
6.39743e+07;-6.04839;0
6.49086e+07;-6.04863;0
6.58566e+07;-6.04887;0
6.68184e+07;-6.04911;0
6.77943e+07;-6.04936;0
6.87844e+07;-6.04961;0
6.9789e+07;-6.04986;0
7.08083e+07;-6.05011;0
7.18424e+07;-6.05037;0
7.28917e+07;-6.05063;0
7.39562e+07;-6.05089;0
7.50364e+07;-6.05115;0
7.61322e+07;-6.05142;0
7.72441e+07;-6.05169;0
7.83723e+07;-6.05196;0
7.95169e+07;-6.05223;0
8.06782e+07;-6.05251;0
8.18565e+07;-6.05279;0
8.3052e+07;-6.05307;0
8.4265e+07;-6.05336;0
8.54956e+07;-6.05365;0
8.67443e+07;-6.05394;0
8.80112e+07;-6.05424;0
8.92966e+07;-6.05453;0
9.06007e+07;-6.05483;0
9.19239e+07;-6.05514;0
9.32665e+07;-6.05544;0
9.46286e+07;-6.05575;0
9.60106e+07;-6.05607;0
9.74128e+07;-6.05638;0
9.88355e+07;-6.0567;0
1.00279e+08;-6.05703;0
1.01744e+08;-6.05735;0
1.0323e+08;-6.05768;0
1.04737e+08;-6.05802;0
1.06267e+08;-6.05835;0
1.07819e+08;-6.0587;0
1.09394e+08;-6.05904;0
1.10991e+08;-6.05939;0
1.12612e+08;-6.05974;0
1.14257e+08;-6.06009;0
1.15926e+08;-6.06045;0
1.17619e+08;-6.06082;0
1.19336e+08;-6.06118;0
1.21079e+08;-6.06155;0
1.22848e+08;-6.06193;0
1.24642e+08;-6.06231;0
1.26462e+08;-6.06269;0
1.28309e+08;-6.06308;0
1.30183e+08;-6.06347;0
1.32084e+08;-6.06386;0
1.34013e+08;-6.06426;0
1.35971e+08;-6.06467;0
1.37957e+08;-6.06508;0
1.39971e+08;-6.06549;0
1.42016e+08;-6.06591;0
1.4409e+08;-6.06633;0
1.46194e+08;-6.06675;0
1.48329e+08;-6.06719;0
1.50496e+08;-6.06762;0
1.52694e+08;-6.06806;0
1.54924e+08;-6.06851;0
1.57186e+08;-6.06896;0
1.59482e+08;-6.06942;0
1.61811e+08;-6.06988;0
1.64174e+08;-6.07034;0
1.66572e+08;-6.07082;0
1.69005e+08;-6.07129;0
1.71473e+08;-6.07178;0
1.73977e+08;-6.07226;0
1.76518e+08;-6.07276;0
1.79096e+08;-6.07326;0
1.81712e+08;-6.07376;0
1.84366e+08;-6.07427;0
1.87059e+08;-6.07479;0
1.89791e+08;-6.07531;0
1.92562e+08;-6.07584;0
1.95375e+08;-6.07637;0
1.98228e+08;-6.07691;0
2.01123e+08;-6.07746;0
2.04061e+08;-6.07801;0
2.07041e+08;-6.07857;0
2.10065e+08;-6.07914;0
2.13133e+08;-6.07971;0
2.16245e+08;-6.08029;0
2.19404e+08;-6.08088;0
2.22608e+08;-6.08147;0
2.25859e+08;-6.08207;0
2.29158e+08;-6.08268;0
2.32505e+08;-6.0833;0
2.359e+08;-6.08392;0
2.39345e+08;-6.08455;0
2.42841e+08;-6.08519;0
2.46388e+08;-6.08583;0
2.49986e+08;-6.08648;0
2.53637e+08;-6.08714;0
2.57341e+08;-6.08781;0
2.611e+08;-6.08849;0
2.64913e+08;-6.08917;0
2.68782e+08;-6.08987;0
2.72708e+08;-6.09057;0
2.76691e+08;-6.09128;0
2.80732e+08;-6.092;0
2.84832e+08;-6.09272;0
2.88992e+08;-6.09346;0
2.93212e+08;-6.09421;0
2.97495e+08;-6.09496;0
3.01839e+08;-6.09573;0
3.06248e+08;-6.0965;0
3.1072e+08;-6.09728;0
3.15258e+08;-6.09808;0
3.19863e+08;-6.09888;0
3.24534e+08;-6.09969;0
3.29274e+08;-6.10052;0
3.34083e+08;-6.10135;0
3.38962e+08;-6.10219;0
3.43913e+08;-6.10305;0
3.48935e+08;-6.10391;0
3.54032e+08;-6.10479;0
3.59202e+08;-6.10568;0
3.64448e+08;-6.10658;0
3.69771e+08;-6.10749;0
3.75171e+08;-6.10841;0
3.80651e+08;-6.10934;0
3.8621e+08;-6.11029;0
3.91851e+08;-6.11125;0
3.97573e+08;-6.11222;0
4.0338e+08;-6.1132;0
4.09271e+08;-6.1142;0
4.15249e+08;-6.11521;0
4.21313e+08;-6.11623;0
4.27466e+08;-6.11726;0
4.33709e+08;-6.11831;0
4.40044e+08;-6.11937;0
4.4647e+08;-6.12045;0
4.52991e+08;-6.12154;0
4.59607e+08;-6.12264;0
4.66319e+08;-6.12376;0
4.7313e+08;-6.1249;0
4.8004e+08;-6.12605;0
4.87051e+08;-6.12721;0
4.94164e+08;-6.12839;0
5.01381e+08;-6.12958;0
5.08704e+08;-6.1308;0
5.16133e+08;-6.13202;0
5.23671e+08;-6.13327;0
5.31319e+08;-6.13453;0
5.39079e+08;-6.1358;0
5.46952e+08;-6.1371;0
5.54941e+08;-6.13841;0
5.63045e+08;-6.13974;0
5.71269e+08;-6.14108;0
5.79612e+08;-6.14245;0
5.88077e+08;-6.14383;0
5.96666e+08;-6.14524;0
6.0538e+08;-6.14666;0
6.14221e+08;-6.1481;0
6.23192e+08;-6.14956;0
6.32294e+08;-6.15104;0
6.41528e+08;-6.15254;0
6.50897e+08;-6.15406;0
6.60404e+08;-6.1556;0
6.70049e+08;-6.15716;0
6.79835e+08;-6.15875;0
6.89764e+08;-6.16035;0
6.99837e+08;-6.16198;0
7.10058e+08;-6.16363;0
7.20429e+08;-6.16531;0
7.3095e+08;-6.167;0
7.41626e+08;-6.16872;0
7.52457e+08;-6.17046;0
7.63447e+08;-6.17223;0
7.74597e+08;-6.17402;0
7.8591e+08;-6.17584;0
7.97388e+08;-6.17768;0
8.09033e+08;-6.17955;0
8.20849e+08;-6.18144;0
8.32837e+08;-6.18336;0
8.45001e+08;-6.18531;0
8.57342e+08;-6.18728;0
8.69863e+08;-6.18929;0
8.82567e+08;-6.19132;0
8.95457e+08;-6.19337;0
9.08535e+08;-6.19546;0
9.21804e+08;-6.19758;0
9.35267e+08;-6.19972;0
9.48926e+08;-6.2019;0
9.62785e+08;-6.2041;0
9.76847e+08;-6.20634;0
9.91113e+08;-6.20861;0
1.00559e+09;-6.21091;0
1.02027e+09;-6.21324;0
1.03518e+09;-6.21561;0
1.05029e+09;-6.21801;0
1.06563e+09;-6.22044;0
1.0812e+09;-6.22291;0
1.09699e+09;-6.22541;0
1.11301e+09;-6.22795;0
1.12926e+09;-6.23052;0
1.14576e+09;-6.23313;0
1.16249e+09;-6.23577;0
1.17947e+09;-6.23845;0
1.19669e+09;-6.24117;0
1.21417e+09;-6.24393;0
1.2319e+09;-6.24672;0
1.2499e+09;-6.24956;0
1.26815e+09;-6.25243;0
1.28667e+09;-6.25534;0
1.30546e+09;-6.2583;0
1.32453e+09;-6.26129;0
1.34387e+09;-6.26433;0
1.3635e+09;-6.2674;0
1.38341e+09;-6.27052;0
1.40362e+09;-6.27368;0
1.42412e+09;-6.27688;0
1.44492e+09;-6.28013;0
1.46602e+09;-6.28341;0
1.48743e+09;-6.28674;0
1.50916e+09;-6.29012;0
1.5312e+09;-6.29354;0
1.55356e+09;-6.297;0
1.57625e+09;-6.3005;0
1.59927e+09;-6.30405;0
1.62263e+09;-6.30764;0
1.64632e+09;-6.31128;0
1.67037e+09;-6.31496;0
1.69476e+09;-6.31868;0
1.71952e+09;-6.32245;0
1.74463e+09;-6.32626;0
1.77011e+09;-6.33011;0
1.79596e+09;-6.334;0
1.82219e+09;-6.33794;0
1.8488e+09;-6.34192;0
1.8758e+09;-6.34594;0
1.9032e+09;-6.34999;0
1.931e+09;-6.35409;0
1.9592e+09;-6.35823;0
1.98781e+09;-6.3624;0
2.01684e+09;-6.36661;0
2.0463e+09;-6.37085;0
2.07619e+09;-6.37513;0
2.10651e+09;-6.37944;0
2.13727e+09;-6.38378;0
2.16849e+09;-6.38816;0
2.20016e+09;-6.39256;0
2.23229e+09;-6.39698;0
2.26489e+09;-6.40144;0
2.29797e+09;-6.40591;0
2.33153e+09;-6.41041;0
2.36558e+09;-6.41493;0
2.40013e+09;-6.41946;0
2.43519e+09;-6.42402;0
2.47075e+09;-6.42859;0
2.50684e+09;-6.43317;0
2.54345e+09;-6.43776;0
2.5806e+09;-6.44236;0
2.61828e+09;-6.44697;0
2.65652e+09;-6.45159;0
2.69532e+09;-6.45622;0
2.73469e+09;-6.46085;0
2.77463e+09;-6.46548;0
2.81515e+09;-6.47012;0
2.85626e+09;-6.47476;0
2.89798e+09;-6.4794;0
2.9403e+09;-6.48405;0
2.98325e+09;-6.4887;0
3.02682e+09;-6.49335;0
3.07102e+09;-6.49801;0
3.11587e+09;-6.50268;0
3.16138e+09;-6.50735;0
3.20755e+09;-6.51204;0
3.2544e+09;-6.51675;0
3.30193e+09;-6.52147;0
3.35015e+09;-6.52621;0
3.39908e+09;-6.53098;0
3.44872e+09;-6.53578;0
3.49909e+09;-6.54061;0
3.55019e+09;-6.54548;0
3.60204e+09;-6.5504;0
3.65465e+09;-6.55537;0
3.70803e+09;-6.5604;0
3.76218e+09;-6.56549;0
3.81713e+09;-6.57066;0
3.87288e+09;-6.5759;0
3.92944e+09;-6.58123;0
3.98683e+09;-6.58664;0
4.04505e+09;-6.59216;0
4.10413e+09;-6.59778;0
4.16407e+09;-6.60352;0
4.22489e+09;-6.60938;0
4.28659e+09;-6.61536;0
4.3492e+09;-6.62148;0
4.41271e+09;-6.62773;0
4.47716e+09;-6.63414;0
4.54255e+09;-6.6407;0
4.60889e+09;-6.64743;0
4.67621e+09;-6.65432;0
4.7445e+09;-6.66139;0
4.81379e+09;-6.66865;0
4.8841e+09;-6.6761;0
4.95543e+09;-6.68376;0
5.0278e+09;-6.69162;0
5.10123e+09;-6.69972;0
5.17573e+09;-6.70804;0
5.25133e+09;-6.71661;0
5.32802e+09;-6.72543;0
5.40583e+09;-6.73451;0
5.48479e+09;-6.74387;0
5.56489e+09;-6.75351;0
5.64616e+09;-6.76344;0
5.72863e+09;-6.77366;0
5.81229e+09;-6.78417;0
5.89718e+09;-6.79497;0
5.98331e+09;-6.80605;0
6.07069e+09;-6.81739;0
6.15935e+09;-6.82899;0
6.24931e+09;-6.8408;0
6.34058e+09;-6.8528;0
6.43318e+09;-6.86494;0
6.52714e+09;-6.87717;0
6.62246e+09;-6.88943;0
6.71918e+09;-6.90166;0
6.81732e+09;-6.9138;0
6.91688e+09;-6.92577;0
7.0179e+09;-6.93749;0
7.1204e+09;-6.9489;0
7.22439e+09;-6.95994;0
7.3299e+09;-6.97054;0
7.43695e+09;-6.98066;0
7.54557e+09;-6.99029;0
7.65577e+09;-6.99939;0
7.76758e+09;-7.008;0
7.88102e+09;-7.01613;0
7.99612e+09;-7.02384;0
8.11291e+09;-7.03122;0
8.23139e+09;-7.03834;0
8.35161e+09;-7.04532;0
8.47359e+09;-7.0523;0
8.59734e+09;-7.05939;0
8.7229e+09;-7.06673;0
8.8503e+09;-7.07445;0
8.97956e+09;-7.08269;0
9.1107e+09;-7.09157;0
9.24376e+09;-7.10118;0
9.37876e+09;-7.11163;0
9.51574e+09;-7.12301;0
9.65472e+09;-7.13538;0
9.79572e+09;-7.1488;0
9.93879e+09;-7.16334;0
1.00839e+10;-7.17902;0
1.02312e+10;-7.19588;0
1.03806e+10;-7.21391;0
1.05322e+10;-7.23308;0
1.06861e+10;-7.25331;0
1.08421e+10;-7.27449;0
1.10005e+10;-7.29643;0
1.11611e+10;-7.31885;0
1.13241e+10;-7.34143;0
1.14895e+10;-7.36377;0
1.16573e+10;-7.38542;0
1.18276e+10;-7.40595;0
1.20003e+10;-7.4249;0
1.21756e+10;-7.44195;0
1.23534e+10;-7.45685;0
1.25338e+10;-7.46954;0
1.27169e+10;-7.48013;0
1.29026e+10;-7.48894;0
1.30911e+10;-7.49645;0
1.32823e+10;-7.50329;0
1.34762e+10;-7.51014;0
1.36731e+10;-7.51775;0
1.38727e+10;-7.52679;0
1.40754e+10;-7.53787;0
1.42809e+10;-7.55151;0
1.44895e+10;-7.56806;0
1.47011e+10;-7.58778;0
1.49158e+10;-7.6108;0
1.51337e+10;-7.63709;0
1.53547e+10;-7.66645;0
1.55789e+10;-7.69847;0
1.58065e+10;-7.73244;0
1.60373e+10;-7.76738;0
1.62715e+10;-7.80197;0
1.65092e+10;-7.83472;0
1.67503e+10;-7.86413;0
1.69949e+10;-7.88891;0
1.72431e+10;-7.90829;0
1.7495e+10;-7.92224;0
1.77505e+10;-7.93154;0
1.80097e+10;-7.93772;0
1.82728e+10;-7.94284;0
1.85396e+10;-7.94915;0
1.88104e+10;-7.95878;0
1.90851e+10;-7.97349;0
1.93638e+10;-7.9945;0
1.96466e+10;-8.02244;0
1.99336e+10;-8.05734;0
2.02247e+10;-8.09853;0
2.05201e+10;-8.14454;0
2.08198e+10;-8.19299;0
2.11239e+10;-8.24066;0
2.14324e+10;-8.28388;0
2.17454e+10;-8.31923;0
2.2063e+10;-8.34455;0
2.23852e+10;-8.35972;0
2.27121e+10;-8.36697;0
2.30438e+10;-8.37044;0
2.33804e+10;-8.37523;0
2.37218e+10;-8.38615;0
2.40683e+10;-8.4069;0
2.44198e+10;-8.4395;0
2.47765e+10;-8.48412;0
2.51383e+10;-8.53892;0
2.55055e+10;-8.59993;0
2.5878e+10;-8.66118;0
2.62559e+10;-8.71558;0
2.66394e+10;-8.75689;0
2.70284e+10;-8.78213;0
2.74232e+10;-8.79326;0
2.78237e+10;-8.79689;0
