"frequency";"r dBS11";"i dBS11"
1e+08;-0.0379704;0
1.01158e+08;-0.0382417;0
1.02329e+08;-0.0385152;0
1.03514e+08;-0.0387911;0
1.04713e+08;-0.0390693;0
1.05925e+08;-0.0393498;0
1.07152e+08;-0.0396328;0
1.08393e+08;-0.0399181;0
1.09648e+08;-0.0402058;0
1.10917e+08;-0.040496;0
1.12202e+08;-0.0407886;0
1.13501e+08;-0.0410838;0
1.14815e+08;-0.0413815;0
1.16145e+08;-0.0416817;0
1.1749e+08;-0.0419845;0
1.1885e+08;-0.0422899;0
1.20226e+08;-0.0425979;0
1.21619e+08;-0.0429086;0
1.23027e+08;-0.043222;0
1.24451e+08;-0.0435381;0
1.25893e+08;-0.0438569;0
1.2735e+08;-0.0441785;0
1.28825e+08;-0.0445029;0
1.30317e+08;-0.0448302;0
1.31826e+08;-0.0451603;0
1.33352e+08;-0.0454933;0
1.34896e+08;-0.0458292;0
1.36458e+08;-0.046168;0
1.38038e+08;-0.0465099;0
1.39637e+08;-0.0468548;0
1.41254e+08;-0.0472027;0
1.42889e+08;-0.0475537;0
1.44544e+08;-0.0479078;0
1.46218e+08;-0.0482651;0
1.47911e+08;-0.0486255;0
1.49624e+08;-0.0489892;0
1.51356e+08;-0.0493561;0
1.53109e+08;-0.0497263;0
1.54882e+08;-0.0500998;0
1.56675e+08;-0.0504767;0
1.58489e+08;-0.050857;0
1.60325e+08;-0.0512407;0
1.62181e+08;-0.0516279;0
1.64059e+08;-0.0520186;0
1.65959e+08;-0.0524129;0
1.6788e+08;-0.0528107;0
1.69824e+08;-0.0532122;0
1.71791e+08;-0.0536173;0
1.7378e+08;-0.0540262;0
1.75792e+08;-0.0544387;0
1.77828e+08;-0.0548551;0
1.79887e+08;-0.0552753;0
1.8197e+08;-0.0556994;0
1.84077e+08;-0.0561274;0
1.86209e+08;-0.0565593;0
1.88365e+08;-0.0569953;0
1.90546e+08;-0.0574353;0
1.92752e+08;-0.0578794;0
1.94984e+08;-0.0583277;0
1.97242e+08;-0.0587801;0
1.99526e+08;-0.0592368;0
2.01837e+08;-0.0596977;0
2.04174e+08;-0.060163;0
2.06538e+08;-0.0606327;0
2.0893e+08;-0.0611067;0
2.11349e+08;-0.0615853;0
2.13796e+08;-0.0620684;0
2.16272e+08;-0.0625561;0
2.18776e+08;-0.0630484;0
2.21309e+08;-0.0635454;0
2.23872e+08;-0.0640471;0
2.26464e+08;-0.0645536;0
2.29087e+08;-0.065065;0
2.31739e+08;-0.0655813;0
2.34423e+08;-0.0661025;0
2.37137e+08;-0.0666287;0
2.39883e+08;-0.0671601;0
2.42661e+08;-0.0676965;0
2.45471e+08;-0.0682381;0
2.48313e+08;-0.068785;0
2.51189e+08;-0.0693372;0
2.54097e+08;-0.0698948;0
2.5704e+08;-0.0704578;0
2.60016e+08;-0.0710263;0
2.63027e+08;-0.0716003;0
2.66073e+08;-0.07218;0
2.69153e+08;-0.0727653;0
2.7227e+08;-0.0733564;0
2.75423e+08;-0.0739533;0
2.78612e+08;-0.0745561;0
2.81838e+08;-0.0751649;0
2.85102e+08;-0.0757796;0
2.88403e+08;-0.0764005;0
2.91743e+08;-0.0770275;0
2.95121e+08;-0.0776608;0
2.98538e+08;-0.0783003;0
3.01995e+08;-0.0789462;0
3.05492e+08;-0.0795986;0
3.0903e+08;-0.0802575;0
3.12608e+08;-0.080923;0
3.16228e+08;-0.0815952;0
3.1989e+08;-0.0822741;0
3.23594e+08;-0.0829599;0
3.27341e+08;-0.0836526;0
3.31131e+08;-0.0843523;0
3.34965e+08;-0.085059;0
3.38844e+08;-0.0857729;0
3.42768e+08;-0.086494;0
3.46737e+08;-0.0872224;0
3.50752e+08;-0.0879583;0
3.54813e+08;-0.0887016;0
3.58922e+08;-0.0894525;0
3.63078e+08;-0.0902111;0
3.67282e+08;-0.0909774;0
3.71535e+08;-0.0917516;0
3.75837e+08;-0.0925337;0
3.80189e+08;-0.0933238;0
3.84592e+08;-0.094122;0
3.89045e+08;-0.0949284;0
3.9355e+08;-0.0957431;0
3.98107e+08;-0.0965662;0
4.02717e+08;-0.0973979;0
4.0738e+08;-0.098238;0
4.12098e+08;-0.0990869;0
4.16869e+08;-0.0999446;0
4.21697e+08;-0.100811;0
4.2658e+08;-0.101687;0
4.31519e+08;-0.102571;0
4.36516e+08;-0.103465;0
4.4157e+08;-0.104368;0
4.46684e+08;-0.105281;0
4.51856e+08;-0.106203;0
4.57088e+08;-0.107134;0
4.62381e+08;-0.108076;0
4.67735e+08;-0.109027;0
4.73151e+08;-0.109988;0
4.7863e+08;-0.110959;0
4.84172e+08;-0.11194;0
4.89779e+08;-0.112932;0
4.9545e+08;-0.113934;0
5.01187e+08;-0.114946;0
5.06991e+08;-0.115969;0
5.12861e+08;-0.117003;0
5.188e+08;-0.118048;0
5.24807e+08;-0.119103;0
5.30884e+08;-0.12017;0
5.37032e+08;-0.121248;0
5.4325e+08;-0.122337;0
5.49541e+08;-0.123438;0
5.55904e+08;-0.12455;0
5.62341e+08;-0.125674;0
5.68853e+08;-0.12681;0
5.7544e+08;-0.127957;0
5.82103e+08;-0.129117;0
5.88844e+08;-0.130289;0
5.95662e+08;-0.131474;0
6.0256e+08;-0.132671;0
6.09537e+08;-0.13388;0
6.16595e+08;-0.135102;0
6.23735e+08;-0.136337;0
6.30957e+08;-0.137585;0
6.38263e+08;-0.138846;0
6.45654e+08;-0.140121;0
6.53131e+08;-0.141408;0
6.60693e+08;-0.14271;0
6.68344e+08;-0.144025;0
6.76083e+08;-0.145354;0
6.83912e+08;-0.146696;0
6.91831e+08;-0.148053;0
6.99842e+08;-0.149424;0
7.07946e+08;-0.15081;0
7.16143e+08;-0.15221;0
7.24436e+08;-0.153624;0
7.32825e+08;-0.155054;0
7.4131e+08;-0.156498;0
7.49894e+08;-0.157958;0
7.58578e+08;-0.159433;0
7.67361e+08;-0.160923;0
7.76247e+08;-0.162429;0
7.85236e+08;-0.16395;0
7.94328e+08;-0.165487;0
8.03526e+08;-0.16704;0
