"frequency";"r dBS21";"i dBS21"
1e+08;-47.9601;0
1.01158e+08;-47.8604;0
1.02329e+08;-47.7607;0
1.03514e+08;-47.661;0
1.04713e+08;-47.5613;0
1.05925e+08;-47.4616;0
1.07152e+08;-47.3619;0
1.08393e+08;-47.2622;0
1.09648e+08;-47.1625;0
1.10917e+08;-47.0628;0
1.12202e+08;-46.9632;0
1.13501e+08;-46.8635;0
1.14815e+08;-46.7638;0
1.16145e+08;-46.6642;0
1.1749e+08;-46.5645;0
1.1885e+08;-46.4648;0
1.20226e+08;-46.3652;0
1.21619e+08;-46.2655;0
1.23027e+08;-46.1659;0
1.24451e+08;-46.0662;0
1.25893e+08;-45.9666;0
1.2735e+08;-45.867;0
1.28825e+08;-45.7673;0
1.30317e+08;-45.6677;0
1.31826e+08;-45.5681;0
1.33352e+08;-45.4684;0
1.34896e+08;-45.3688;0
1.36458e+08;-45.2692;0
1.38038e+08;-45.1696;0
1.39637e+08;-45.07;0
1.41254e+08;-44.9704;0
1.42889e+08;-44.8708;0
1.44544e+08;-44.7712;0
1.46218e+08;-44.6716;0
1.47911e+08;-44.572;0
1.49624e+08;-44.4724;0
1.51356e+08;-44.3729;0
1.53109e+08;-44.2733;0
1.54882e+08;-44.1737;0
1.56675e+08;-44.0742;0
1.58489e+08;-43.9746;0
1.60325e+08;-43.8751;0
1.62181e+08;-43.7755;0
1.64059e+08;-43.676;0
1.65959e+08;-43.5764;0
1.6788e+08;-43.4769;0
1.69824e+08;-43.3774;0
1.71791e+08;-43.2779;0
1.7378e+08;-43.1783;0
1.75792e+08;-43.0788;0
1.77828e+08;-42.9793;0
1.79887e+08;-42.8798;0
1.8197e+08;-42.7803;0
1.84077e+08;-42.6809;0
1.86209e+08;-42.5814;0
1.88365e+08;-42.4819;0
1.90546e+08;-42.3824;0
1.92752e+08;-42.283;0
1.94984e+08;-42.1835;0
1.97242e+08;-42.0841;0
1.99526e+08;-41.9846;0
2.01837e+08;-41.8852;0
2.04174e+08;-41.7857;0
2.06538e+08;-41.6863;0
2.0893e+08;-41.5869;0
2.11349e+08;-41.4875;0
2.13796e+08;-41.3881;0
2.16272e+08;-41.2887;0
2.18776e+08;-41.1893;0
2.21309e+08;-41.0899;0
2.23872e+08;-40.9906;0
2.26464e+08;-40.8912;0
2.29087e+08;-40.7918;0
2.31739e+08;-40.6925;0
2.34423e+08;-40.5931;0
2.37137e+08;-40.4938;0
2.39883e+08;-40.3945;0
2.42661e+08;-40.2952;0
2.45471e+08;-40.1959;0
2.48313e+08;-40.0966;0
2.51189e+08;-39.9973;0
2.54097e+08;-39.898;0
2.5704e+08;-39.7987;0
2.60016e+08;-39.6995;0
2.63027e+08;-39.6002;0
2.66073e+08;-39.501;0
2.69153e+08;-39.4017;0
2.7227e+08;-39.3025;0
2.75423e+08;-39.2033;0
2.78612e+08;-39.1041;0
2.81838e+08;-39.0049;0
2.85102e+08;-38.9057;0
2.88403e+08;-38.8065;0
2.91743e+08;-38.7074;0
2.95121e+08;-38.6082;0
2.98538e+08;-38.5091;0
3.01995e+08;-38.4099;0
3.05492e+08;-38.3108;0
3.0903e+08;-38.2117;0
3.12608e+08;-38.1126;0
3.16228e+08;-38.0135;0
3.1989e+08;-37.9145;0
3.23594e+08;-37.8154;0
3.27341e+08;-37.7164;0
3.31131e+08;-37.6173;0
3.34965e+08;-37.5183;0
3.38844e+08;-37.4193;0
3.42768e+08;-37.3203;0
3.46737e+08;-37.2214;0
3.50752e+08;-37.1224;0
3.54813e+08;-37.0234;0
3.58922e+08;-36.9245;0
3.63078e+08;-36.8256;0
3.67282e+08;-36.7267;0
3.71535e+08;-36.6278;0
3.75837e+08;-36.5289;0
3.80189e+08;-36.4301;0
3.84592e+08;-36.3312;0
3.89045e+08;-36.2324;0
3.9355e+08;-36.1336;0
3.98107e+08;-36.0348;0
4.02717e+08;-35.936;0
4.0738e+08;-35.8373;0
4.12098e+08;-35.7385;0
4.16869e+08;-35.6398;0
4.21697e+08;-35.5411;0
4.2658e+08;-35.4424;0
4.31519e+08;-35.3437;0
4.36516e+08;-35.2451;0
4.4157e+08;-35.1464;0
4.46684e+08;-35.0478;0
4.51856e+08;-34.9492;0
4.57088e+08;-34.8507;0
4.62381e+08;-34.7521;0
4.67735e+08;-34.6536;0
4.73151e+08;-34.5551;0
4.7863e+08;-34.4566;0
4.84172e+08;-34.3581;0
4.89779e+08;-34.2597;0
4.9545e+08;-34.1613;0
5.01187e+08;-34.0629;0
5.06991e+08;-33.9645;0
5.12861e+08;-33.8662;0
5.188e+08;-33.7678;0
5.24807e+08;-33.6695;0
5.30884e+08;-33.5713;0
5.37032e+08;-33.473;0
5.4325e+08;-33.3748;0
5.49541e+08;-33.2766;0
5.55904e+08;-33.1784;0
5.62341e+08;-33.0803;0
5.68853e+08;-32.9822;0
5.7544e+08;-32.8841;0
5.82103e+08;-32.786;0
5.88844e+08;-32.688;0
5.95662e+08;-32.59;0
6.0256e+08;-32.492;0
6.09537e+08;-32.3941;0
6.16595e+08;-32.2961;0
6.23735e+08;-32.1983;0
6.30957e+08;-32.1004;0
6.38263e+08;-32.0026;0
6.45654e+08;-31.9048;0
6.53131e+08;-31.807;0
6.60693e+08;-31.7093;0
6.68344e+08;-31.6116;0
6.76083e+08;-31.514;0
6.83912e+08;-31.4163;0
6.91831e+08;-31.3188;0
6.99842e+08;-31.2212;0
7.07946e+08;-31.1237;0
7.16143e+08;-31.0262;0
7.24436e+08;-30.9288;0
7.32825e+08;-30.8314;0
7.4131e+08;-30.734;0
7.49894e+08;-30.6367;0
7.58578e+08;-30.5394;0
7.67361e+08;-30.4421;0
7.76247e+08;-30.3449;0
7.85236e+08;-30.2477;0
7.94328e+08;-30.1506;0
8.03526e+08;-30.0535;0
8.12831e+08;-29.9564;0
8.22243e+08;-29.8594;0
8.31764e+08;-29.7625;0
8.41395e+08;-29.6655;0
8.51138e+08;-29.5687;0
8.60994e+08;-29.4718;0
8.70964e+08;-29.375;0
8.81049e+08;-29.2783;0
8.91251e+08;-29.1816;0
9.01571e+08;-29.0849;0
9.12011e+08;-28.9883;0
9.22571e+08;-28.8917;0
9.33254e+08;-28.7952;0
9.44061e+08;-28.6987;0
9.54993e+08;-28.6023;0
9.66051e+08;-28.5059;0
9.77237e+08;-28.4096;0
9.88553e+08;-28.3133;0
1e+09;-28.2171;0
1.01158e+09;-28.1209;0
1.02329e+09;-28.0248;0
1.03514e+09;-27.9287;0
1.04713e+09;-27.8326;0
1.05925e+09;-27.7366;0
1.07152e+09;-27.6407;0
1.08393e+09;-27.5448;0
1.09648e+09;-27.449;0
1.10917e+09;-27.3532;0
1.12202e+09;-27.2575;0
1.13501e+09;-27.1618;0
1.14815e+09;-27.0661;0
1.16145e+09;-26.9706;0
