"frequency";"r dBS11";"i dBS11"
1e+06;-15.5637;0
1.01667e+06;-15.5637;0
1.03362e+06;-15.5637;0
1.05085e+06;-15.5637;0
1.06837e+06;-15.5637;0
1.08618e+06;-15.5637;0
1.10429e+06;-15.5637;0
1.1227e+06;-15.5637;0
1.14141e+06;-15.5637;0
1.16044e+06;-15.5637;0
1.17979e+06;-15.5637;0
1.19945e+06;-15.5637;0
1.21945e+06;-15.5637;0
1.23978e+06;-15.5638;0
1.26045e+06;-15.5638;0
1.28146e+06;-15.5638;0
1.30282e+06;-15.5638;0
1.32454e+06;-15.5638;0
1.34662e+06;-15.5638;0
1.36907e+06;-15.5638;0
1.3919e+06;-15.5638;0
1.4151e+06;-15.5638;0
1.43869e+06;-15.5638;0
1.46268e+06;-15.5638;0
1.48706e+06;-15.5638;0
1.51185e+06;-15.5638;0
1.53705e+06;-15.5638;0
1.56268e+06;-15.5638;0
1.58873e+06;-15.5639;0
1.61521e+06;-15.5639;0
1.64214e+06;-15.5639;0
1.66952e+06;-15.5639;0
1.69735e+06;-15.5639;0
1.72565e+06;-15.5639;0
1.75441e+06;-15.5639;0
1.78366e+06;-15.5639;0
1.8134e+06;-15.5639;0
1.84363e+06;-15.5639;0
1.87436e+06;-15.5639;0
1.90561e+06;-15.5639;0
1.93738e+06;-15.5639;0
1.96967e+06;-15.564;0
2.00251e+06;-15.564;0
2.03589e+06;-15.564;0
2.06983e+06;-15.564;0
2.10434e+06;-15.564;0
2.13942e+06;-15.564;0
2.17509e+06;-15.564;0
2.21135e+06;-15.564;0
2.24821e+06;-15.564;0
2.28569e+06;-15.564;0
2.3238e+06;-15.564;0
2.36253e+06;-15.564;0
2.40192e+06;-15.564;0
2.44196e+06;-15.5641;0
2.48267e+06;-15.5641;0
2.52406e+06;-15.5641;0
2.56614e+06;-15.5641;0
2.60892e+06;-15.5641;0
2.65241e+06;-15.5641;0
2.69663e+06;-15.5641;0
2.74158e+06;-15.5641;0
2.78729e+06;-15.5641;0
2.83375e+06;-15.5641;0
2.88099e+06;-15.5642;0
2.92902e+06;-15.5642;0
2.97785e+06;-15.5642;0
3.0275e+06;-15.5642;0
3.07797e+06;-15.5642;0
3.12928e+06;-15.5642;0
3.18145e+06;-15.5642;0
3.23448e+06;-15.5642;0
3.2884e+06;-15.5642;0
3.34322e+06;-15.5642;0
3.39896e+06;-15.5643;0
3.45562e+06;-15.5643;0
3.51323e+06;-15.5643;0
3.5718e+06;-15.5643;0
3.63134e+06;-15.5643;0
3.69188e+06;-15.5643;0
3.75343e+06;-15.5643;0
3.816e+06;-15.5643;0
3.87962e+06;-15.5643;0
3.94429e+06;-15.5643;0
4.01005e+06;-15.5644;0
4.0769e+06;-15.5644;0
4.14486e+06;-15.5644;0
4.21396e+06;-15.5644;0
4.28421e+06;-15.5644;0
4.35563e+06;-15.5644;0
4.42824e+06;-15.5644;0
4.50207e+06;-15.5644;0
4.57712e+06;-15.5645;0
4.65342e+06;-15.5645;0
4.731e+06;-15.5645;0
4.80987e+06;-15.5645;0
4.89005e+06;-15.5645;0
4.97158e+06;-15.5645;0
5.05446e+06;-15.5645;0
5.13872e+06;-15.5645;0
5.22438e+06;-15.5646;0
5.31148e+06;-15.5646;0
5.40002e+06;-15.5646;0
5.49005e+06;-15.5646;0
5.58157e+06;-15.5646;0
5.67462e+06;-15.5646;0
5.76922e+06;-15.5646;0
5.8654e+06;-15.5647;0
5.96318e+06;-15.5647;0
6.06259e+06;-15.5647;0
6.16366e+06;-15.5647;0
6.26641e+06;-15.5647;0
6.37088e+06;-15.5647;0
6.47709e+06;-15.5647;0
6.58506e+06;-15.5648;0
6.69484e+06;-15.5648;0
6.80645e+06;-15.5648;0
6.91992e+06;-15.5648;0
7.03528e+06;-15.5648;0
7.15256e+06;-15.5648;0
7.2718e+06;-15.5648;0
7.39303e+06;-15.5649;0
7.51628e+06;-15.5649;0
7.64158e+06;-15.5649;0
7.76897e+06;-15.5649;0
7.89849e+06;-15.5649;0
8.03016e+06;-15.5649;0
8.16403e+06;-15.565;0
8.30013e+06;-15.565;0
8.4385e+06;-15.565;0
