"frequency";"r dBS11";"i dBS11"
1e+07;-0.0275878;0
1.7665e+08;-0.139642;0
3.433e+08;-0.232373;0
5.0995e+08;-0.337858;0
6.766e+08;-0.460792;0
8.4325e+08;-0.602782;0
1.0099e+09;-0.764244;0
1.17655e+09;-0.944857;0
1.3432e+09;-1.14371;0
1.50985e+09;-1.35936;0
1.6765e+09;-1.58996;0
1.84315e+09;-1.83335;0
2.0098e+09;-2.08723;0
2.17645e+09;-2.34929;0
2.3431e+09;-2.61744;0
2.50975e+09;-2.88994;0
2.6764e+09;-3.16552;0
2.84305e+09;-3.44345;0
3.0097e+09;-3.72361;0
3.17635e+09;-4.00643;0
3.343e+09;-4.29285;0
3.50965e+09;-4.58424;0
3.6763e+09;-4.88228;0
3.84295e+09;-5.18888;0
4.0096e+09;-5.50599;0
4.17625e+09;-5.83554;0
4.3429e+09;-6.17929;0
4.50955e+09;-6.53869;0
4.6762e+09;-6.91485;0
4.84285e+09;-7.30834;0
5.0095e+09;-7.71921;0
5.17615e+09;-8.14686;0
5.3428e+09;-8.59008;0
5.50945e+09;-9.04701;0
5.6761e+09;-9.51523;0
5.84275e+09;-9.99187;0
6.0094e+09;-10.4738;0
6.17605e+09;-10.9579;0
6.3427e+09;-11.4411;0
6.50935e+09;-11.921;0
6.676e+09;-12.3962;0
6.84265e+09;-12.8662;0
7.0093e+09;-13.332;0
7.17595e+09;-13.7961;0
7.3426e+09;-14.263;0
7.50925e+09;-14.7386;0
7.6759e+09;-15.231;0
7.84255e+09;-15.7497;0
8.0092e+09;-16.3064;0
8.17585e+09;-16.9147;0
8.3425e+09;-17.5906;0
8.50915e+09;-18.3536;0
8.6758e+09;-19.2275;0
8.84245e+09;-20.2431;0
9.0091e+09;-21.4419;0
9.17575e+09;-22.8842;0
9.3424e+09;-24.6636;0
9.50905e+09;-26.9407;0
9.6757e+09;-30.0226;0
9.84235e+09;-34.5453;0
1.0009e+10;-40.214;0
1.01757e+10;-36.662;0
1.03423e+10;-31.6259;0
1.0509e+10;-28.3106;0
1.06756e+10;-25.9582;0
1.08423e+10;-24.1747;0
1.10089e+10;-22.761;0
1.11756e+10;-21.604;0
1.13422e+10;-20.6323;0
1.15089e+10;-19.7974;0
1.16755e+10;-19.0639;0
1.18422e+10;-18.4048;0
1.20088e+10;-17.7991;0
1.21755e+10;-17.2299;0
1.23421e+10;-16.6841;0
1.25088e+10;-16.1515;0
1.26754e+10;-15.6249;0
1.28421e+10;-15.0995;0
1.30087e+10;-14.5729;0
1.31754e+10;-14.0447;0
1.3342e+10;-13.5159;0
1.35087e+10;-12.9889;0
1.36753e+10;-12.4668;0
1.3842e+10;-11.9531;0
1.40086e+10;-11.4513;0
1.41753e+10;-10.9645;0
1.43419e+10;-10.4955;0
1.45086e+10;-10.0464;0
1.46752e+10;-9.61875;0
1.48419e+10;-9.2132;0
1.50085e+10;-8.82981;0
1.51752e+10;-8.46798;0
1.53418e+10;-8.12653;0
1.55085e+10;-7.8038;0
1.56751e+10;-7.49774;0
1.58418e+10;-7.20606;0
1.60084e+10;-6.92629;0
1.61751e+10;-6.65597;0
1.63417e+10;-6.39271;0
1.65084e+10;-6.1344;0
1.6675e+10;-5.87926;0
1.68417e+10;-5.62601;0
1.70083e+10;-5.37393;0
1.7175e+10;-5.12295;0
1.73416e+10;-4.87363;0
1.75083e+10;-4.62714;0
1.76749e+10;-4.38522;0
1.78416e+10;-4.14999;0
1.80082e+10;-3.92389;0
1.81749e+10;-3.70944;0
1.83415e+10;-3.50915;0
1.85082e+10;-3.32534;0
1.86748e+10;-3.16011;0
1.88415e+10;-3.01522;0
1.90081e+10;-2.89212;0
1.91748e+10;-2.79193;0
1.93414e+10;-2.7155;0
1.95081e+10;-2.66347;0
1.96747e+10;-2.63623;0
1.98414e+10;-2.63402;0
2.0008e+10;-2.65688;0
2.01747e+10;-2.70467;0
2.03413e+10;-2.77698;0
2.0508e+10;-2.87312;0
2.06746e+10;-2.99209;0
2.08413e+10;-3.13252;0
2.10079e+10;-3.29273;0
2.11746e+10;-3.47072;0
2.13412e+10;-3.66432;0
2.15079e+10;-3.8713;0
2.16745e+10;-4.08948;0
2.18412e+10;-4.31693;0
2.20078e+10;-4.55206;0
2.21745e+10;-4.79377;0
2.23411e+10;-5.04144;0
2.25078e+10;-5.29498;0
2.26744e+10;-5.55481;0
2.28411e+10;-5.82176;0
2.30077e+10;-6.097;0
2.31744e+10;-6.38191;0
2.3341e+10;-6.67799;0
2.35077e+10;-6.98672;0
2.36743e+10;-7.30943;0
2.3841e+10;-7.64722;0
2.40076e+10;-8.00086;0
2.41743e+10;-8.3707;0
2.43409e+10;-8.75657;0
2.45076e+10;-9.15783;0
