"frequency";"r dBS21";"i dBS21"
1e+07;-50.0802;0
1.7665e+08;-25.4045;0
3.433e+08;-19.7133;0
5.0995e+08;-16.3548;0
6.766e+08;-13.984;0
8.4325e+08;-12.1672;0
1.0099e+09;-10.709;0
1.17655e+09;-9.50497;0
1.3432e+09;-8.4923;0
1.50985e+09;-7.63032;0
1.6765e+09;-6.89072;0
1.84315e+09;-6.25271;0
2.0098e+09;-5.70025;0
2.17645e+09;-5.2204;0
2.3431e+09;-4.80242;0
2.50975e+09;-4.43719;0
2.6764e+09;-4.11683;0
2.84305e+09;-3.83452;0
3.0097e+09;-3.58434;0
3.17635e+09;-3.36118;0
3.343e+09;-3.16071;0
3.50965e+09;-2.97924;0
3.6763e+09;-2.81376;0
3.84295e+09;-2.66182;0
4.0096e+09;-2.52149;0
4.17625e+09;-2.39132;0
4.3429e+09;-2.27027;0
4.50955e+09;-2.15762;0
4.6762e+09;-2.05295;0
4.84285e+09;-1.956;0
5.0095e+09;-1.86669;0
5.17615e+09;-1.78496;0
5.3428e+09;-1.71081;0
5.50945e+09;-1.64416;0
5.6761e+09;-1.58491;0
5.84275e+09;-1.53283;0
6.0094e+09;-1.48764;0
6.17605e+09;-1.44893;0
6.3427e+09;-1.41623;0
6.50935e+09;-1.38902;0
6.676e+09;-1.36671;0
6.84265e+09;-1.34871;0
7.0093e+09;-1.33444;0
7.17595e+09;-1.32331;0
7.3426e+09;-1.31479;0
7.50925e+09;-1.30842;0
7.6759e+09;-1.30376;0
7.84255e+09;-1.30048;0
8.0092e+09;-1.29831;0
8.17585e+09;-1.29709;0
8.3425e+09;-1.29673;0
8.50915e+09;-1.29723;0
8.6758e+09;-1.29865;0
8.84245e+09;-1.30113;0
9.0091e+09;-1.30486;0
9.17575e+09;-1.31004;0
9.3424e+09;-1.31689;0
9.50905e+09;-1.32559;0
9.6757e+09;-1.33629;0
9.84235e+09;-1.3491;0
1.0009e+10;-1.36403;0
1.01757e+10;-1.38106;0
1.03423e+10;-1.40009;0
1.0509e+10;-1.42097;0
1.06756e+10;-1.44352;0
1.08423e+10;-1.46755;0
1.10089e+10;-1.49289;0
1.11756e+10;-1.51937;0
1.13422e+10;-1.54689;0
1.15089e+10;-1.5754;0
1.16755e+10;-1.60492;0
1.18422e+10;-1.63555;0
1.20088e+10;-1.66745;0
1.21755e+10;-1.70085;0
1.23421e+10;-1.73607;0
1.25088e+10;-1.77347;0
1.26754e+10;-1.81345;0
1.28421e+10;-1.85648;0
1.30087e+10;-1.90302;0
1.31754e+10;-1.95356;0
1.3342e+10;-2.00859;0
1.35087e+10;-2.06854;0
1.36753e+10;-2.13383;0
1.3842e+10;-2.20479;0
1.40086e+10;-2.28171;0
1.41753e+10;-2.36477;0
1.43419e+10;-2.45409;0
1.45086e+10;-2.54975;0
1.46752e+10;-2.65175;0
1.48419e+10;-2.76013;0
1.50085e+10;-2.87496;0
1.51752e+10;-2.99639;0
1.53418e+10;-3.12473;0
1.55085e+10;-3.26049;0
1.56751e+10;-3.40442;0
1.58418e+10;-3.55757;0
1.60084e+10;-3.72134;0
1.61751e+10;-3.89752;0
1.63417e+10;-4.08828;0
1.65084e+10;-4.29628;0
1.6675e+10;-4.52461;0
1.68417e+10;-4.77686;0
1.70083e+10;-5.05713;0
1.7175e+10;-5.37006;0
1.73416e+10;-5.72087;0
1.75083e+10;-6.11543;0
1.76749e+10;-6.56036;0
1.78416e+10;-7.06323;0
1.80082e+10;-7.63287;0
1.81749e+10;-8.2798;0
1.83415e+10;-9.01704;0
1.85082e+10;-9.86124;0
1.86748e+10;-10.8346;0
1.88415e+10;-11.9679;0
1.90081e+10;-13.3056;0
1.91748e+10;-14.915;0
1.93414e+10;-16.9021;0
1.95081e+10;-19.4361;0
1.96747e+10;-22.7312;0
1.98414e+10;-26.3044;0
2.0008e+10;-26.0865;0
2.01747e+10;-22.4558;0
2.03413e+10;-19.237;0
2.0508e+10;-16.7708;0
2.06746e+10;-14.8413;0
2.08413e+10;-13.2855;0
2.10079e+10;-12.0015;0
2.11746e+10;-10.9238;0
2.13412e+10;-10.008;0
2.15079e+10;-9.22291;0
2.16745e+10;-8.54519;0
2.18412e+10;-7.95683;0
2.20078e+10;-7.44343;0
2.21745e+10;-6.99323;0
2.23411e+10;-6.59648;0
2.25078e+10;-6.24496;0
2.26744e+10;-5.9318;0
2.28411e+10;-5.65121;0
2.30077e+10;-5.39837;0
2.31744e+10;-5.16928;0
2.3341e+10;-4.96069;0
2.35077e+10;-4.76997;0
2.36743e+10;-4.59505;0
2.3841e+10;-4.43429;0
2.40076e+10;-4.28646;0
2.41743e+10;-4.1506;0
2.43409e+10;-4.02596;0
2.45076e+10;-3.91198;0
2.46742e+10;-3.80816;0
2.48409e+10;-3.71404;0
2.50075e+10;-3.62919;0
2.51742e+10;-3.55313;0
2.53408e+10;-3.48538;0
2.55075e+10;-3.42537;0
2.56741e+10;-3.37253;0
2.58408e+10;-3.32624;0
2.60074e+10;-3.28588;0
2.61741e+10;-3.25081;0
2.63407e+10;-3.22041;0
2.65074e+10;-3.19411;0
2.6674e+10;-3.17135;0
2.68407e+10;-3.15165;0
2.70073e+10;-3.13458;0
2.7174e+10;-3.11978;0
2.73406e+10;-3.10699;0
2.75073e+10;-3.09598;0
2.76739e+10;-3.08664;0
2.78406e+10;-3.0789;0
2.80072e+10;-3.07275;0
2.81739e+10;-3.06823;0
2.83405e+10;-3.06543;0
2.85072e+10;-3.06443;0
2.86738e+10;-3.06534;0
2.88405e+10;-3.06823;0
2.90071e+10;-3.07317;0
2.91738e+10;-3.08019;0
2.93404e+10;-3.08929;0
2.95071e+10;-3.10043;0
2.96737e+10;-3.11355;0
2.98404e+10;-3.12856;0
3.0007e+10;-3.14536;0
3.01737e+10;-3.16384;0
3.03403e+10;-3.18392;0
3.0507e+10;-3.20552;0
3.06736e+10;-3.22861;0
3.08403e+10;-3.2532;0
3.10069e+10;-3.27931;0
3.11736e+10;-3.30705;0
3.13402e+10;-3.33654;0
3.15069e+10;-3.36795;0
3.16735e+10;-3.40151;0
3.18402e+10;-3.43746;0
