"frequency";"r dBS11";"i dBS11"
1e+07;-60.2002;0
1.01547e+07;-60.0676;0
1.03118e+07;-59.9351;0
1.04713e+07;-59.8025;0
1.06333e+07;-59.6699;0
1.07978e+07;-59.5373;0
1.09648e+07;-59.4047;0
1.11344e+07;-59.2721;0
1.13066e+07;-59.1395;0
1.14815e+07;-59.0068;0
1.16591e+07;-58.8742;0
1.18395e+07;-58.7415;0
1.20226e+07;-58.6089;0
1.22086e+07;-58.4762;0
1.23975e+07;-58.3436;0
1.25893e+07;-58.2109;0
1.2784e+07;-58.0782;0
1.29818e+07;-57.9455;0
1.31826e+07;-57.8128;0
1.33865e+07;-57.6801;0
1.35936e+07;-57.5474;0
1.38038e+07;-57.4147;0
1.40174e+07;-57.282;0
1.42342e+07;-57.1493;0
1.44544e+07;-57.0165;0
1.4678e+07;-56.8838;0
1.4905e+07;-56.751;0
1.51356e+07;-56.6183;0
1.53697e+07;-56.4855;0
1.56075e+07;-56.3528;0
1.58489e+07;-56.22;0
1.60941e+07;-56.0873;0
1.63431e+07;-55.9545;0
1.65959e+07;-55.8217;0
1.68526e+07;-55.6889;0
1.71133e+07;-55.5561;0
1.7378e+07;-55.4233;0
1.76468e+07;-55.2905;0
1.79198e+07;-55.1577;0
1.8197e+07;-55.0249;0
1.84785e+07;-54.8921;0
1.87643e+07;-54.7593;0
1.90546e+07;-54.6265;0
1.93494e+07;-54.4936;0
1.96487e+07;-54.3608;0
1.99526e+07;-54.228;0
2.02613e+07;-54.0951;0
2.05747e+07;-53.9623;0
2.0893e+07;-53.8295;0
2.12162e+07;-53.6966;0
2.15443e+07;-53.5638;0
2.18776e+07;-53.4309;0
2.2216e+07;-53.2981;0
2.25597e+07;-53.1652;0
2.29087e+07;-53.0323;0
2.32631e+07;-52.8995;0
2.36229e+07;-52.7666;0
2.39883e+07;-52.6337;0
2.43594e+07;-52.5009;0
2.47362e+07;-52.368;0
2.51189e+07;-52.2351;0
2.55074e+07;-52.1022;0
2.5902e+07;-51.9693;0
2.63027e+07;-51.8365;0
2.67096e+07;-51.7036;0
2.71227e+07;-51.5707;0
2.75423e+07;-51.4378;0
2.79683e+07;-51.3049;0
2.8401e+07;-51.172;0
2.88403e+07;-51.0391;0
2.92864e+07;-50.9062;0
2.97395e+07;-50.7733;0
3.01995e+07;-50.6404;0
3.06667e+07;-50.5075;0
3.11411e+07;-50.3746;0
3.16228e+07;-50.2417;0
3.21119e+07;-50.1088;0
3.26087e+07;-49.9759;0
3.31131e+07;-49.843;0
3.36253e+07;-49.7101;0
3.41455e+07;-49.5772;0
3.46737e+07;-49.4443;0
3.52101e+07;-49.3113;0
3.57547e+07;-49.1784;0
3.63078e+07;-49.0455;0
3.68695e+07;-48.9126;0
3.74398e+07;-48.7797;0
3.80189e+07;-48.6468;0
3.86071e+07;-48.5139;0
3.92043e+07;-48.381;0
3.98107e+07;-48.2481;0
4.04265e+07;-48.1151;0
4.10519e+07;-47.9822;0
4.16869e+07;-47.8493;0
4.23318e+07;-47.7164;0
4.29866e+07;-47.5835;0
4.36516e+07;-47.4506;0
4.43268e+07;-47.3177;0
4.50125e+07;-47.1848;0
4.57088e+07;-47.0518;0
4.64159e+07;-46.9189;0
4.71339e+07;-46.786;0
4.7863e+07;-46.6531;0
4.86034e+07;-46.5202;0
4.93552e+07;-46.3873;0
5.01187e+07;-46.2544;0
5.0894e+07;-46.1215;0
5.16813e+07;-45.9886;0
5.24807e+07;-45.8557;0
5.32926e+07;-45.7228;0
5.4117e+07;-45.5899;0
5.49541e+07;-45.457;0
5.58042e+07;-45.3241;0
5.66674e+07;-45.1912;0
5.7544e+07;-45.0584;0
5.84341e+07;-44.9255;0
5.93381e+07;-44.7926;0
6.0256e+07;-44.6597;0
6.11881e+07;-44.5268;0
6.21346e+07;-44.3939;0
6.30957e+07;-44.2611;0
6.40718e+07;-44.1282;0
6.50629e+07;-43.9953;0
6.60693e+07;-43.8625;0
6.70914e+07;-43.7296;0
6.81292e+07;-43.5967;0
6.91831e+07;-43.4639;0
7.02533e+07;-43.331;0
7.134e+07;-43.1982;0
7.24436e+07;-43.0654;0
7.35642e+07;-42.9325;0
7.47022e+07;-42.7997;0
7.58578e+07;-42.6668;0
7.70312e+07;-42.534;0
7.82228e+07;-42.4012;0
7.94328e+07;-42.2684;0
8.06616e+07;-42.1356;0
8.19093e+07;-42.0027;0
8.31764e+07;-41.8699;0
8.4463e+07;-41.7371;0
8.57696e+07;-41.6043;0
8.70964e+07;-41.4716;0
8.84437e+07;-41.3388;0
8.98118e+07;-41.206;0
9.12011e+07;-41.0732;0
9.26119e+07;-40.9404;0
9.40445e+07;-40.8077;0
9.54993e+07;-40.6749;0
9.69765e+07;-40.5422;0
9.84767e+07;-40.4094;0
1e+08;-40.2767;0
1.01547e+08;-40.144;0
1.03118e+08;-40.0113;0
1.04713e+08;-39.8786;0
1.06333e+08;-39.7458;0
1.07978e+08;-39.6132;0
1.09648e+08;-39.4805;0
1.11344e+08;-39.3478;0
1.13066e+08;-39.2151;0
1.14815e+08;-39.0824;0
1.16591e+08;-38.9498;0
1.18395e+08;-38.8171;0
1.20226e+08;-38.6845;0
1.22086e+08;-38.5519;0
1.23975e+08;-38.4193;0
1.25893e+08;-38.2867;0
1.2784e+08;-38.1541;0
1.29818e+08;-38.0215;0
1.31826e+08;-37.8889;0
1.33865e+08;-37.7564;0
1.35936e+08;-37.6238;0
1.38038e+08;-37.4913;0
1.40174e+08;-37.3587;0
1.42342e+08;-37.2262;0
1.44544e+08;-37.0937;0
1.4678e+08;-36.9612;0
1.4905e+08;-36.8288;0
1.51356e+08;-36.6963;0
1.53697e+08;-36.5639;0
1.56075e+08;-36.4314;0
1.58489e+08;-36.299;0
1.60941e+08;-36.1666;0
1.63431e+08;-36.0343;0
1.65959e+08;-35.9019;0
1.68526e+08;-35.7695;0
1.71133e+08;-35.6372;0
1.7378e+08;-35.5049;0
1.76468e+08;-35.3726;0
1.79198e+08;-35.2403;0
1.8197e+08;-35.1081;0
1.84785e+08;-34.9758;0
1.87643e+08;-34.8436;0
1.90546e+08;-34.7114;0
1.93494e+08;-34.5792;0
1.96487e+08;-34.4471;0
1.99526e+08;-34.315;0
2.02613e+08;-34.1829;0
2.05747e+08;-34.0508;0
2.0893e+08;-33.9187;0
2.12162e+08;-33.7867;0
2.15443e+08;-33.6547;0
2.18776e+08;-33.5227;0
2.2216e+08;-33.3907;0
2.25597e+08;-33.2588;0
2.29087e+08;-33.1269;0
2.32631e+08;-32.9951;0
2.36229e+08;-32.8632;0
2.39883e+08;-32.7314;0
2.43594e+08;-32.5996;0
2.47362e+08;-32.4679;0
2.51189e+08;-32.3362;0
2.55074e+08;-32.2045;0
2.5902e+08;-32.0729;0
2.63027e+08;-31.9413;0
2.67096e+08;-31.8097;0
2.71227e+08;-31.6782;0
2.75423e+08;-31.5467;0
2.79683e+08;-31.4153;0
2.8401e+08;-31.2839;0
2.88403e+08;-31.1525;0
2.92864e+08;-31.0212;0
2.97395e+08;-30.8899;0
3.01995e+08;-30.7587;0
3.06667e+08;-30.6275;0
3.11411e+08;-30.4964;0
3.16228e+08;-30.3653;0
3.21119e+08;-30.2343;0
3.26087e+08;-30.1034;0
3.31131e+08;-29.9724;0
3.36253e+08;-29.8416;0
3.41455e+08;-29.7108;0
3.46737e+08;-29.5801;0
3.52101e+08;-29.4494;0
3.57547e+08;-29.3188;0
3.63078e+08;-29.1882;0
3.68695e+08;-29.0577;0
3.74398e+08;-28.9273;0
3.80189e+08;-28.797;0
3.86071e+08;-28.6667;0
3.92043e+08;-28.5365;0
3.98107e+08;-28.4064;0
4.04265e+08;-28.2763;0
4.10519e+08;-28.1464;0
4.16869e+08;-28.0165;0
4.23318e+08;-27.8867;0
4.29866e+08;-27.757;0
4.36516e+08;-27.6274;0
4.43268e+08;-27.4978;0
4.50125e+08;-27.3684;0
4.57088e+08;-27.2391;0
4.64159e+08;-27.1098;0
4.71339e+08;-26.9807;0
4.7863e+08;-26.8517;0
4.86034e+08;-26.7227;0
4.93552e+08;-26.5939;0
5.01187e+08;-26.4652;0
5.0894e+08;-26.3367;0
