"frequency";"r dBS21";"i dBS21"
1e+07;-0.0123864;0
1.01547e+07;-0.0124868;0
1.03118e+07;-0.012588;0
1.04713e+07;-0.0126901;0
1.06333e+07;-0.0127931;0
1.07978e+07;-0.0128969;0
1.09648e+07;-0.0130016;0
1.11344e+07;-0.0131072;0
1.13066e+07;-0.0132137;0
1.14815e+07;-0.0133212;0
1.16591e+07;-0.0134295;0
1.18395e+07;-0.0135388;0
1.20226e+07;-0.013649;0
1.22086e+07;-0.0137601;0
1.23975e+07;-0.0138722;0
1.25893e+07;-0.0139852;0
1.2784e+07;-0.0140993;0
1.29818e+07;-0.0142142;0
1.31826e+07;-0.0143302;0
1.33865e+07;-0.0144472;0
1.35936e+07;-0.0145652;0
1.38038e+07;-0.0146842;0
1.40174e+07;-0.0148042;0
1.42342e+07;-0.0149253;0
1.44544e+07;-0.0150474;0
1.4678e+07;-0.0151706;0
1.4905e+07;-0.0152948;0
1.51356e+07;-0.0154201;0
1.53697e+07;-0.0155465;0
1.56075e+07;-0.015674;0
1.58489e+07;-0.0158025;0
1.60941e+07;-0.0159322;0
1.63431e+07;-0.0160631;0
1.65959e+07;-0.016195;0
1.68526e+07;-0.0163281;0
1.71133e+07;-0.0164624;0
1.7378e+07;-0.0165979;0
1.76468e+07;-0.0167345;0
1.79198e+07;-0.0168723;0
1.8197e+07;-0.0170113;0
1.84785e+07;-0.0171516;0
1.87643e+07;-0.017293;0
1.90546e+07;-0.0174357;0
1.93494e+07;-0.0175797;0
1.96487e+07;-0.0177249;0
1.99526e+07;-0.0178714;0
2.02613e+07;-0.0180192;0
2.05747e+07;-0.0181683;0
2.0893e+07;-0.0183187;0
2.12162e+07;-0.0184704;0
2.15443e+07;-0.0186235;0
2.18776e+07;-0.0187779;0
2.2216e+07;-0.0189337;0
2.25597e+07;-0.0190909;0
2.29087e+07;-0.0192495;0
2.32631e+07;-0.0194095;0
2.36229e+07;-0.0195708;0
2.39883e+07;-0.0197337;0
2.43594e+07;-0.019898;0
2.47362e+07;-0.0200637;0
2.51189e+07;-0.0202309;0
2.55074e+07;-0.0203997;0
2.5902e+07;-0.0205699;0
2.63027e+07;-0.0207417;0
2.67096e+07;-0.020915;0
2.71227e+07;-0.0210898;0
2.75423e+07;-0.0212662;0
2.79683e+07;-0.0214442;0
2.8401e+07;-0.0216239;0
2.88403e+07;-0.0218051;0
2.92864e+07;-0.021988;0
2.97395e+07;-0.0221725;0
3.01995e+07;-0.0223587;0
3.06667e+07;-0.0225466;0
3.11411e+07;-0.0227361;0
3.16228e+07;-0.0229275;0
3.21119e+07;-0.0231205;0
3.26087e+07;-0.0233153;0
3.31131e+07;-0.0235119;0
3.36253e+07;-0.0237103;0
3.41455e+07;-0.0239104;0
3.46737e+07;-0.0241125;0
3.52101e+07;-0.0243163;0
3.57547e+07;-0.0245221;0
3.63078e+07;-0.0247297;0
3.68695e+07;-0.0249393;0
3.74398e+07;-0.0251507;0
3.80189e+07;-0.0253641;0
3.86071e+07;-0.0255795;0
3.92043e+07;-0.0257969;0
3.98107e+07;-0.0260163;0
4.04265e+07;-0.0262378;0
4.10519e+07;-0.0264613;0
4.16869e+07;-0.0266868;0
4.23318e+07;-0.0269145;0
4.29866e+07;-0.0271443;0
4.36516e+07;-0.0273763;0
4.43268e+07;-0.0276104;0
4.50125e+07;-0.0278467;0
4.57088e+07;-0.0280852;0
4.64159e+07;-0.028326;0
4.71339e+07;-0.028569;0
4.7863e+07;-0.0288143;0
4.86034e+07;-0.029062;0
4.93552e+07;-0.029312;0
5.01187e+07;-0.0295643;0
5.0894e+07;-0.0298191;0
5.16813e+07;-0.0300762;0
5.24807e+07;-0.0303359;0
5.32926e+07;-0.030598;0
5.4117e+07;-0.0308626;0
5.49541e+07;-0.0311297;0
5.58042e+07;-0.0313994;0
5.66674e+07;-0.0316716;0
5.7544e+07;-0.0319465;0
5.84341e+07;-0.0322241;0
5.93381e+07;-0.0325043;0
6.0256e+07;-0.0327872;0
6.11881e+07;-0.0330729;0
6.21346e+07;-0.0333613;0
6.30957e+07;-0.0336526;0
6.40718e+07;-0.0339467;0
6.50629e+07;-0.0342436;0
6.60693e+07;-0.0345435;0
6.70914e+07;-0.0348463;0
6.81292e+07;-0.035152;0
6.91831e+07;-0.0354608;0
7.02533e+07;-0.0357726;0
7.134e+07;-0.0360875;0
7.24436e+07;-0.0364055;0
7.35642e+07;-0.0367266;0
7.47022e+07;-0.0370509;0
7.58578e+07;-0.0373785;0
7.70312e+07;-0.0377093;0
7.82228e+07;-0.0380434;0
7.94328e+07;-0.0383809;0
8.06616e+07;-0.0387218;0
8.19093e+07;-0.039066;0
8.31764e+07;-0.0394138;0
8.4463e+07;-0.039765;0
